GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Config,25,0,2,0,13,0,8,0,7,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,CustomerWindow,103,0,2,0,19,0,4,0,3,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Customer,573,0,18,0,123,0,16,0,7,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Customer.new ActionListener() {...},117,0,6,0,23,0,5,0,2,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Login,550,0,12,0,150,0,13,0,5,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,StaffWindow,3,0,0,0,1,0,1,0,1,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Customer.new MouseAdapter() {...},22,0,0,0,3,0,2,0,2,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,BRWindow,30,0,0,0,11,0,4,0,4,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Customer.Bike,15,0,0,0,5,0,1,0,1,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Customer.PaymentRecord,12,0,0,0,4,0,1,0,1,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,DBConnection,57,0,6,0,18,0,6,0,3,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Welcome,373,0,2,0,82,0,4,0,3,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Register,672,0,0,0,171,0,6,0,6,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,AuthWindow,3,0,0,0,1,0,1,0,1,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Main,8,0,0,0,3,0,2,0,2,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Customer.RentedBike,18,0,0,0,6,0,1,0,1,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Staff,1352,0,60,0,321,0,49,0,19,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Manager,1726,0,84,0,409,0,64,0,22,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Welcome.new ActionListener() {...},96,0,6,0,18,0,5,0,2,0
bicycle_rental_system,com.ra58ad.bicyclerentalsystem,Welcome.new MouseAdapter() {...},13,0,0,0,4,0,2,0,2,0
